rank,symbol,date,close,adr_pct,atr_14,gain_1m,gain_3m,gain_6m,gain_1m_pctile,gain_3m_pctile,gain_6m_pctile,momentum_pctile,dist_to_sma_10_pct,dist_to_sma_10_adr,dist_to_sma_20_pct,dist_to_sma_20_adr,dist_to_sma_50_pct,dist_to_sma_50_adr,triggers,next_earnings_date,earnings_when,days_to_earnings,avg_vol_20,avg_dollar_vol_20,shares,binding_cap,stop_price,risk_per_share,actual_risk_dollars,position_dollars,preferred_entry_low,preferred_entry_high,max_entry,extended,stop_exceeds_atr,score
1,CERT,2026-07-23,7.110000133514404,5.855156378958304,0.3648175048255469,31.666666813838628,11.442006363309542,-26.32123922718579,0.9540441176470588,0.5867924528301887,0.2349514563106796,0.9540441176470588,2.545712150917152,0.4347812400136206,5.161745709521946,0.8815726473287254,17.445852459074658,2.9795707116841283,AT_10MA AT_20MA AT_PIVOT,2026-08-04,bmo,6,4289350.0,28314307.40754366,1856.1475718888648,risk,6.840625,0.2693751335144041,500.0,13197.209483952267,7.0574087524127735,7.119427728233116,7.239817504825547,false,false,1.12249649859944
2,NRIX,2026-07-23,23.739999771118164,6.144556996149331,1.2583248669264149,25.874862157152577,42.754064757414035,24.815978968222694,0.9283088235294118,0.8188679245283019,0.570873786407767,0.9283088235294118,2.139848345696424,0.34825103698076587,0.7771690527137629,0.12648089247130412,18.04170119752411,2.9362086166391617,AT_10MA AT_20MA AT_PIVOT,,,,1825220.0,42601212.60178566,507.94995724858427,risk,22.75565083503723,0.9843489360809343,500.0,12058.731868820872,23.499163272696606,23.713078500074097,24.128325706159814,false,false,1.057872315592904
3,CLYM,2026-07-23,12.760000228881836,7.809475899618912,0.9917693289855015,3.7398376505186848,37.20430072242367,197.43590541595873,0.6636029411764706,0.7943396226415095,0.9805825242718447,0.9805825242718447,-2.0846378466692026,-0.2669369716309553,-2.9271137974099792,-0.3748156515282693,6.400471904351549,0.8195776498476525,AT_10MA AT_20MA AT_50MA,2026-08-11,unknown,11,1526185.0,20075260.69750309,875.2731722816104,risk,12.18875,0.5712502288818353,500.0,11168.48587864748,12.74588466449275,12.914485450420287,13.241769328985502,false,false,1.04347934966867
4,ERAS,2026-07-23,19.34000015258789,7.429905757679878,1.2884223746844148,28.33444289471485,-10.66974367965,92.43780881136219,0.9375,0.30754716981132074,0.8776699029126214,0.9375,0.5015518164684859,0.0675044654435973,3.916752960877664,0.5271605170535488,22.3634957735561,3.009929937595804,AT_10MA AT_20MA AT_PIVOT,2026-08-11,unknown,11,6008220.0,110493619.36738014,600.2402595909064,risk,18.507000379562378,0.832999773025513,500.0,11608.646712077523,19.244211568811934,19.463243372508284,19.888422756154142,false,false,1.0313492063492062
5,RLAY,2026-07-23,19.09000015258789,6.565228998384209,1.1490030481484232,9.461006697265173,15.626892113500524,153.183027177315,0.7610294117647058,0.620754716981132,0.9475728155339805,0.9475728155339805,-1.3331577520182951,-0.2030634045432997,-0.5015697409183167,-0.0763979049385421,14.764275190540035,2.2488591325868024,AT_10MA AT_20MA,2026-08-06,unknown,8,3771865.0,71890514.24489975,777.9688656945419,risk,18.447300910949707,0.6426992416381836,500.0,14851.425764817433,19.114502439601555,19.30983295778679,19.689003963675766,false,false,1.0313029742641393
6,SNOW,2026-07-23,265.1300048828125,5.139901191027696,13.180844084680475,15.068790707377078,70.42488423251345,28.392254180538746,0.8382352941176471,0.9169811320754717,0.5941747572815533,0.9169811320754717,-1.6795510475633504,-0.32676718581579056,0.935958610830389,0.1820966154882929,12.203675737645291,2.3743016225580846,AT_10MA AT_20MA,,,,5729160.0,1484294441.198578,75.43469102578564,concentration,259.29700607299804,5.832998809814455,440.01046297212883,20000.0,267.1904281458559,269.43117164025153,273.7808501881961,false,false,1.022139862234202
7,QDEL,2026-07-23,16.579999923706055,7.362626634545499,1.1709692860046181,38.86097576540952,39.327734917640214,-43.64378014714592,0.9705882352941176,0.8037735849056604,0.07378640776699029,0.9705882352941176,-4.9095292081454645,-0.6668176252629621,-3.4740655803522467,-0.4718513857611501,12.21712863502056,1.6593437697489235,AT_10MA AT_20MA,2026-08-06,amc,8,1596540.0,27282808.247833252,1084.6006639819475,risk,16.119000759124756,0.46099916458129897,499.99999999999994,17982.678926072225,16.785485405941763,16.984550184562547,17.37097004894407,false,false,1.0090802987861813
8,PRGS,2026-07-23,36.91999816894531,5.6209031161642775,1.8202601785447121,28.0166365242976,21.56732679852389,-13.536305598876641,0.9356617647058824,0.6773584905660377,0.35145631067961164,0.9356617647058824,-4.872701520795478,-0.8668894339742019,-1.4842946983971168,-0.2640669422194212,10.264893025220404,1.8261999563204,AT_10MA AT_20MA,,,,991800.0,36447775.9737587,541.7118361837486,concentration,36.69560106277466,0.224397106170656,121.55856841802564,20000.0,37.79013115738759,38.09957538774019,38.70026124665995,false,false,1.0090744631185808
9,SYRE,2026-07-23,99.98999786376953,6.075185730013377,5.941082853273428,3.0293608650828974,36.97259981338292,194.17473646997428,0.6580882352941176,0.7905660377358491,0.978640776699029,0.978640776699029,1.387136729145193,0.22832828341235564,5.2820262707855985,0.8694427636492963,15.557353644609687,2.5608029673481982,AT_10MA AT_20MA,2026-08-04,unknown,6,1464365.0,136812731.6247177,143.88498053855525,risk,96.515,3.4749978637695307,500.0,14387.05889667866,99.97054142663671,100.9805255116932,102.94108285327343,false,false,1.0060217290799816
10,MBX,2026-07-23,63.56999969482422,7.961899456878996,4.363413297035213,37.03384464585564,89.3091013355302,54.70917366453336,0.9650735294117647,0.9490566037735849,0.7533980582524271,0.9650735294117647,5.319333428305714,0.668098543207534,7.622699495106186,0.9573971056015101,30.224476902809055,3.7961389824755236,AT_10MA AT_20MA AT_PIVOT,2026-08-06,unknown,8,1005005.0,57976772.89176941,76.90207496286618,risk,57.068224544525144,6.501775150299075,500.0,4888.664881920752,59.53670619075393,60.27848645124992,61.718412839271544,true,true,0.997017973856209
